"","GSM1679409","GSM1679410","GSM1679411","GSM1679412","GSM1679413","GSM1679414"
"MARCHF11",5.435157643,5.690745839,5.048872124,3.994535589,4.399613312,4.640093529
"MARCHF11-DT",2.706704934,2.811706734,2.774931093,2.824160065,2.645045301,2.860140952
"MARCHF2",6.349837574,6.350890161,6.587868133,6.941428761,6.822242741,6.918109427
"MARCHF3",5.382921079,5.5887318335,5.5547762425,5.769172423,5.841531662,5.8684701665
"MARCHF4",4.545299158,4.815402798,4.878304918,5.024510195,4.660762536,4.968231422
"MARCHF5",8.221396453,8.22980109,8.0171417425,8.162145984,8.19643619,8.19444755
"MARCHF6",6.65902109783333,6.61077203816667,6.51208513166667,6.75631877416667,6.8448971745,6.7302587675
"MARCHF7",5.5400275792,5.4457562854,5.4871006258,5.9401643064,5.9919649282,5.8661357334
"MARCHF8",5.12124270766667,5.02933435533333,5.067757471,5.19194564266667,5.21648247766667,5.12032138633333
"MARCHF9",7.1114144395,7.0627546175,6.8785822915,6.8488225365,6.8521248055,6.6478268095
"MARCKS",8.2360626894,8.0977639744,8.050605928,7.6936321212,7.7082683714,7.8410513062
"MARCKSL1",11.19403674,11.09235169,11.23792959,10.94275938,10.94689393,11.06621513
"MARCO",5.757789478,5.633068511,5.510485463,5.564512034,5.290324552,5.633228252
"MARF1",5.7033796375,6.081549609,5.961576818,5.6804356515,5.6954379215,5.405601963
"MARK1",4.05848305166667,4.12908937566667,3.77327551066667,3.49551078466667,3.45738297033333,3.57689083
"MARK2",5.9848652635,6.048561192,6.2090385965,5.9338899145,5.972239183,6.0251645995
"MARK3",6.25993087066667,6.12050522333333,6.42273996166667,6.44364170266667,6.21029139266667,6.29995860566667
"MARK4",7.6909900135,7.915703576,7.649981148,7.694516844,7.924938317,7.8065799535
"MARS1",8.63664655633333,8.67673770766667,8.78110112266667,8.09355499533333,8.235985264,7.99052614633333
"MARS2",6.710759586,6.811879275,6.586960083,6.243487107,6.421961504,6.316963934
"MARVELD1",6.293628727,6.4345812165,6.205810636,6.020350557,6.005515958,6.131119438
"MARVELD2",7.5163026015,7.5371334275,7.377291992,7.5061938715,7.603387289,7.4065234555
"MARVELD3",7.823971157,7.86338440066667,7.80146051033333,8.498269712,8.33823878866667,8.09455117
"MAS1",4.94802516,5.279397749,5.330204467,5.123897408,5.482516757,5.468347351
"MAS1L",3.594089226,4.030227173,3.666194712,4.010686028,3.546575715,3.830531295
"MASP1",4.254987411,4.2998794786,4.3686015336,4.3755377542,4.2566401282,4.4722677772
"MASP2",4.812443745,4.88975948466667,4.648178885,4.654471864,4.66815491266667,4.75215272066667
"MAST1",4.96753368,4.761739137,4.848060352,4.769993601,4.823980106,4.84489441
"MAST2",5.932404283,6.06245427125,5.832433842,5.7862553825,5.7941742075,5.81689041925
"MAST3",6.272211303,6.397577821,6.270576123,6.054396738,5.984510523,5.744609711
"MAST4",6.95007479771429,7.06004028985714,7.275257781,7.58047890042857,7.62027724014286,7.55026832742857
"MASTL",7.28892496,7.360056368,7.249168256,6.51389527,6.20228088,6.721780614
"MAT1A",5.867624622,5.994483262,6.268079152,5.711746108,5.814018691,5.73369818
"MAT2A",8.846924346,8.729635186,8.767725026,8.795462987,8.8356314415,9.006047975
"MAT2B",7.1114553405,7.047191694,7.015758417,6.5514637975,6.496587719,6.5168868815
"MATCAP1",7.200219929,7.233053955,7.051482617,7.419941761,6.996834694,6.882551662
"MATCAP2",5.290324552,5.354734589,5.08565928,6.466481628,6.468930541,6.250094096
"MATK",6.782804371,6.890068336,6.470221496,6.59072866,6.513790494,6.241119799
"MATN1",4.6669209385,4.738679996,4.8666452675,4.890384348,4.8775428825,4.893465903
"MATN1-AS1",5.3815934375,5.2581564235,5.1602648855,6.3722179685,5.724359002,5.8192130115
"MATN2",6.121584317,6.1936420645,6.1285448575,5.4665399355,5.4418124805,5.6959372365
"MATN3",3.611128781,4.174533416,3.691176145,2.219532907,2.200032034,2.422045356
"MATN4",5.984498199,6.138862558,6.1001046,5.997395876,5.949812051,5.99325311
"MATR3",8.06792924833333,8.17142795866667,8.128051997,8.11274720133333,8.24838250016666,8.16116752433333
"MAU2",5.8459196238,5.8604767234,5.8492745144,6.0142128364,6.0354945544,5.9059950588
"MAVS",6.67109755425,6.873012868,6.73528329225,7.099263973,7.3405959145,7.05403589575
"MAX",7.385878082,7.448604265,7.269749173,7.5954864926,7.5213076424,7.5698393356
"MAZ",7.00547807533333,6.98054209833333,6.92018064833333,6.69884715733333,6.79349556566667,6.611283707
"MB",8.304387901,8.791544176,8.654631184,10.04168247,9.892997611,10.25100222
"MB21D2",6.88850345,6.832464088,7.22045587,6.601889845,6.535558147,6.563390769
"MBD1",5.9916400316,5.9348876732,5.9448780376,6.157660424,6.0703586262,6.034450503
"MBD2",5.92589427125,6.037058049,5.9796234525,7.14694986825,6.61403606875,6.93409693575
"MBD3",6.86098273366667,6.83890435566667,6.8571568,6.688131231,6.566088536,6.72084883833333
"MBD3L1",3.439402529,3.43352768,3.7504477035,3.5099146475,3.572038846,3.6347327185
"MBD3L2",4.214192573,4.681430017,4.441924511,4.434450644,4.719097845,4.596763845
"MBD4",8.74494578025,8.6474919105,8.82091034275,8.103643376,8.15797515775,7.962853742
"MBD5",5.43648657933333,5.55303995233333,5.31864652566667,5.210738639,5.61958688566667,5.40721443
"MBD6",6.989471874,6.828017797,6.818646108,7.179042495,7.19047133033333,7.18761389733333
"MBIP",6.86376936,7.056982811,7.110132779,6.964058612,6.922431959,7.052653775
"MBL1P",3.66451092,3.460022247,3.832450025,3.828478411,3.746838089,3.938046244
